block_size,lookahead,worst_cycles,best_cycles,avg_cycles,runs,total
4,512,2494,2494,2494,1,1
4,1024,2494,2494,2494,1,1
4,2048,2494,2494,2494,1,1
4,4096,2494,2494,2494,1,1
6,512,2532,2532,2532,1,1
6,1024,2531,2531,2531,1,1
6,2048,2531,2531,2531,1,1
6,4096,2531,2531,2531,1,1
8,512,2493,2493,2493,1,1
8,1024,2493,2493,2493,1,1
8,2048,2493,2493,2493,1,1
8,4096,2493,2493,2493,1,1
10,512,2529,2529,2529,1,1
10,1024,2527,2527,2527,1,1
10,2048,2527,2527,2527,1,1
10,4096,2527,2527,2527,1,1
12,512,2551,2551,2551,1,1
12,1024,2499,2499,2499,1,1
12,2048,2499,2499,2499,1,1
12,4096,2499,2499,2499,1,1
14,512,2519,2519,2519,1,1
14,1024,2514,2514,2514,1,1
14,2048,2514,2514,2514,1,1
14,4096,2514,2514,2514,1,1
16,512,2452,2452,2452,1,1
16,1024,2436,2436,2436,1,1
16,2048,2436,2436,2436,1,1
16,4096,2436,2436,2436,1,1
18,512,2723,2723,2723,1,1
18,1024,2643,2643,2643,1,1
18,2048,2643,2643,2643,1,1
18,4096,2643,2643,2643,1,1
